GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
FLJ40852	4310.615	478.5986	-3832.0164	0.0999326068897825	-3.17100563301227
SSBP1	4259.546	478.5986	-3780.9474	0.101009707470726	-3.15381158843742
UBE2D3	4877.8753	1836.7525	-3041.1228	0.273544946154722	-1.4090956386856
TBCCD1	4112.7592	1434.4307	-2678.3285	0.258586910824884	-1.5196283347113
C7orf55	3778.8	1697.3845	-2081.4155	0.309957507823193	-1.15461475493218
EIF4A2	3958.9272	2102.6484	-1856.2788	0.346881493979882	-0.912901912041199
MRPL47	4806.844	3261.3768	-1545.4672	0.40422503062881	-0.559608852319772
TOR1AIP1	5237.8	3695.4992	-1542.3008	0.413676864198168	-0.503191711461773
NDUFB5	4777.724	3261.3768	-1516.3472	0.40568925320603	-0.550842383375776
SLC1A5	3569.2775	2277.5051	-1291.7724	0.389531346693137	-0.648177786061959
CLCN2	2766.982	1774.6852	-992.2968	0.390756328424945	-0.640750121927287
SFT2D3	3005.6	2017.3113	-988.2887	0.401621923922885	-0.575219291473464
GPBP1	2954.95	2038.1009	-916.8491	0.408187487133368	-0.535908242522466
GPBP1L1	2935.2056	2159.4641	-775.7415	0.423867341193876	-0.442788229512984
SLC33A1	2737	2076.042	-660.958	0.431336772045621	-0.398759803830395
BRD2	5267.4988	4608.1091	-659.389700000001	0.466615234896072	-0.192943206444983
TMEM168	2846.9224	2233.046	-613.876400000001	0.439578718639273	-0.350390198848271
CD55	2642.1648	2055.0673	-587.0975	0.437506015510709	-0.362534814229823
ING1	2650.5074	2088.9603	-561.5471	0.440758421035341	-0.343483493779753
AHCYL2	2910.3657	2383.7314	-526.634300000001	0.450262123072884	-0.287978763989257
B3GALNT2	2509.4	2055.4308	-453.9692	0.450275353031705	-0.287901653971834
DCAKD	3842.3277	3413.5283	-428.799400000001	0.470451494627236	-0.170716854504757
HNRNPL	2792.4	2369.64	-422.76	0.459051072831671	-0.236837717649535
EIF4A1	2502.045	2114.7515	-387.2935	0.45805603517504	-0.242619591777322
SMC4	2680.4577	2330.7962	-349.6615	0.465112374370015	-0.201656504562484
KIAA0100	2788.8	2439.7955	-349.0045	0.466625406383033	-0.192884246255308
MYNN	2593.8518	2304.4512	-289.4006	0.470459095731726	-0.170672836510351
NCF2	3098.5814	2836.9753	-261.6061	0.477962800018404	-0.127254278623836
C1orf31	2626.6968	2382.3415	-244.3553	0.475608561427849	-0.140869446461001
MXI1	3155.6326	2919.4795	-236.1531	0.480563889512426	-0.112218066005126
TRA2B	2458.3488	2247.6732	-210.6756	0.477616381733872	-0.129257334918163
FAM76B	2484.1911	2296.1027	-188.0884	0.480326690380411	-0.11358898696452
IGF1	3375.3891	3197.248	-178.1411	0.4864482781196	-0.078223165721893
PROX1	2337	2195.3665	-141.6335	0.484375325781796	-0.0901959271187416
HSPD1	2354.1228	2220.7556	-133.3672	0.485423962306845	-0.0841389495666835
HSPE1	2335.1868	2220.7556	-114.4312	0.487441544476067	-0.072487331688115
GFI1	2982.4159	2897.9953	-84.4205999999995	0.492821879531146	-0.0414262013725847
DALRD3	2386.4961	2360.7916	-25.7044999999998	0.497292717270959	-0.0156232861497456
TERC	2307.2376	2304.4512	-2.78640000000041	0.499697898088874	-0.00174336392824607
DSE	2915.46	2975.4634	60.0033999999996	0.505092868802198	0.0293908427134089
ZEB1	2638.1758	2699.849	61.6732000000002	0.505776780954633	0.0333380163677462
ATP2C1	3542.379	3614.0992	71.7201999999997	0.505010858553304	0.028917531276674
CLCN6	2598.0384	2685.1826	87.1442000000002	0.50824726052535	0.0475974443565163
MTHFR	2598.0384	2685.1826	87.1442000000002	0.50824726052535	0.0475974443565163
GBA	2529.6329	2625.8914	96.2585000000004	0.509335471466986	0.0538792149798382
FOXP2	2385.2	2537.5889	152.3889	0.515477903186139	0.0893481236122569
HNRNPD	2289.6	2481.7619	192.1619	0.520137007423394	0.116269132905612
PCYT1A	2180.2	2387.7568	207.556799999999	0.522718778776542	0.131195415109969
RPL41	2838.7536	3065.8357	227.0821	0.519229288309688	0.111022753658877
RGS2	2498.2	2738.4841	240.2841	0.522942390204519	0.132488523581235
PDXDC1	2149.242	2405.9147	256.6727	0.528173860627012	0.162757557438223
FLJ39739	3232.551	3542.0859	309.5349	0.522845128423045	0.131926068033955
TSEN15	2648.6	2974.9853	326.3853	0.529019325091415	0.16765256002962
FDPS	2294.7646	2625.8914	331.1268	0.533646611346129	0.194461083715085
UPP1	2123.2317	2495.3053	372.0736	0.540280461107056	0.232954524230049
CREM	2612.9581	2991.1324	378.1743	0.533740916567996	0.195007781015991
NDUFS7	2649	3053.927	404.927	0.535501681855651	0.205217733163083
POU2F1	2880.3114	3290.2247	409.9133	0.533215371675729	0.191961318961395
SYNCRIP	2152.7161	2580.7617	428.0456	0.545214704503315	0.261638863772661
LPXN	4156.2521	4640.0403	483.788199999999	0.527499551970328	0.158854171160686
NEDD9	2683.967	3174.2536	490.2866	0.541846034271908	0.242050460345051
TLCD1	3303.3024	3815.735	512.4326	0.53599030116066	0.208051933879736
PES1	2047.1901	2588.852	541.6619	0.558418570012554	0.338667415539199
ZNF165	2172.8	2727.9763	555.1763	0.556641669198408	0.328275725934767
C21orf59	3268.608	3843.0097	574.4017	0.540384742560051	0.233560250960841
RUNX3	2385.8539	2983.9656	598.1117	0.55569197437642	0.322725202937458
ZNF398	3999.5146	4616.2656	616.751	0.535791941396091	0.20690131448426
BCL9	1989.4	2615.6682	626.2682	0.567997711738558	0.394846163452727
MDM2	3059	3709.3671	650.367099999999	0.548044608868807	0.278112945291498
DCAF8	2154.0006	2805.2755	651.2749	0.565662294946636	0.381123809984118
DSCR3	2432.6	3110.7528	678.1528	0.561168107503459	0.35476464086145
LONP1	2117.4607	2808.731	691.2703	0.570162748640091	0.407583266719291
ATG3	1947.8117	2658.0249	710.2132	0.577099261402369	0.448500404543326
ADAR	4488.832	5201.2897	712.457699999999	0.536762061512602	0.212529292356364
SQSTM1	2077.3831	2795.8097	718.4266	0.573712105131568	0.428498870455426
LOC100286793	2820.802	3542.0859	721.283899999999	0.556678972766438	0.328493796999676
FAM36A	2267.4	2996.723	729.323	0.569272982413215	0.40234681107302
HNRNPUL2	1884.021	2650.0647	766.0437	0.584476094044716	0.492212536924626
ALDOA	2460.2962	3228.6201	768.3239	0.56752814239858	0.392085679279449
HBP1	2366	3136.028	770.028	0.5699767431209	0.406488366923637
LOC100507463	2045.989	2840.8241	794.8351	0.581324483230185	0.473511115922721
PSMB8	2045.989	2840.8241	794.8351	0.581324483230185	0.473511115922721
PEA15	1920.6	2722.5627	801.9627	0.586359530326172	0.503408191546273
LNPEP	3412.6	4231.1884	818.5884	0.553545987746076	0.310191603090867
MGST3	2172.2	2992.6981	820.4981	0.579430231159836	0.462289806858479
ACTR1A	2304.4468	3133.156	828.7092	0.576201704177436	0.443196141069779
RPL36	1973.0938	2808.731	835.6372	0.5873763923764	0.509458917382259
FKBP14	2849.646	3694.742	845.096	0.564566465191245	0.374690915753943
G3BP2	1862.628	2718.3642	855.736200000001	0.593400748423016	0.545399186778184
LOC147727	2035.1792	2899.2551	864.0759	0.587555720419664	0.510526447871043
NPAT	1975.3251	2854.815	879.4899	0.591041862326105	0.531307145634385
RPS26	1989.507	2873.9655	884.458499999999	0.59092870371941	0.530631768222238
C7orf23	2316.2	3207.5388	891.3388	0.580682562325358	0.46970688397206
UQCRC2	2165.4	3071.0069	905.606900000001	0.586472166630137	0.504078204724692
ATM	1925.4925	2854.815	929.3225	0.597203213391607	0.568169754248013
DNAJC1	1884.8	2814.5488	929.7488	0.598923152927061	0.578492218281673
ZBTB4	2270.7655	3208.8993	938.133800000001	0.585601385690599	0.498899788567508
LDHA	2106.117	3052.705	946.588	0.5917445882025	0.535502596708018
SPRY1	2294.4508	3241.2653	946.8145	0.585518701004194	0.498408239847159
GBAP1	1825	2821.0941	996.0941	0.607196935593706	0.628358325057085
POLR2A	2211.9415	3208.8993	996.957800000001	0.591956011694717	0.536765285818027
BSCL2	1914.9749	2912.2415	997.266600000001	0.603296239215628	0.60480451460866
MICA	2124.208	3124.0598	999.8518	0.595255409794447	0.556497029369976
TMEM146	1804.5754	2808.731	1004.1556	0.608832528444241	0.63825903599083
C19orf25	2037.6	3053.927	1016.327	0.59980571643831	0.583794712145873
LOC152217	1912.6584	2939.0258	1026.3674	0.605774341207121	0.619758791673969
NCBP2	1912.6584	2939.0258	1026.3674	0.605774341207121	0.619758791673969
CD164	1880.6	2918.2915	1037.6915	0.608117833045402	0.633930974205582
SNORD84	2121.8509	3166.8174	1044.9665	0.598792970245459	0.577710400063759
ZBTB8OS	2344.0831	3403.7602	1059.6771	0.592180409650347	0.538105684986085
EFCAB2	2416.8152	3494.7	1077.8848	0.591168233822692	0.532061451097666
RFFL	2967.5094	4062.9576	1095.4482	0.577907214414064	0.453277709234035
NCRNA00095	1825.5333	2924.2018	1098.6685	0.615655765728914	0.679724889955615
NFE2L2	2922.372	4023.6378	1101.2658	0.579273268517416	0.461360606358861
CDK5	2106.0313	3209.3369	1103.3056	0.603784494176716	0.607748366449641
PPP2R5A	2230	3337.1909	1107.1909	0.59943891990483	0.581590506373421
MIR3609	1766	2878.0514	1112.0514	0.619728584399389	0.704607014853793
LRMP	1763.4	2881.8522	1118.4522	0.620386596017327	0.7086365818642
LSG1	2105	3225.2968	1120.2968	0.605087656657318	0.615611693813485
TROVE2	2524.2256	3663.4778	1139.2522	0.592057757648823	0.53737301780791
DPAGT1	1791	2933.1125	1142.1125	0.620881170801923	0.71166706963171
HSPBAP1	2171.1405	3316.1208	1144.9803	0.604330761503922	0.611043473015197
NFKB2	2425.7928	3578.072	1152.2792	0.595961454694983	0.560726091028138
ILF3	1746.3132	2899.2551	1152.9419	0.624090512241527	0.731369950528316
SH2D3C	3229.2	4386.714	1157.514	0.57599311126675	0.4419638534174
TES	1898.581	3065.2942	1166.7132	0.617520400190561	0.691103996560353
PRKAB2	2322.8	3492.4511	1169.6511	0.600567549009191	0.588374976544093
RRAS	2085.9971	3278.5104	1192.5133	0.611148441865353	0.652303319154462
HNRNPC	1894	3094.7935	1200.7935	0.620349088411858	0.708406818062981
APH1A	2628.4725	3838.2354	1209.7629	0.593537772132865	0.546218554110148
NAT10	1716.4	2939.9565	1223.5565	0.631385612334451	0.776409002706731
REEP4	2066.8444	3296.7844	1229.94	0.614655585412622	0.67362976086512
C12orf44	1910.2	3143.1488	1232.9488	0.621993241392718	0.718486874571913
UCHL5	2423.746	3663.4778	1239.7318	0.601830640759421	0.595975355838235
FAM96A	2248.7553	3491.5628	1242.8075	0.608252493881829	0.634746239868938
RBBP4	2160.1111	3403.7602	1243.6491	0.611761131139033	0.65602388481233
WDR74	3007.2	4279.7292	1272.5292	0.587315875115131	0.509098692446637
GORASP1	1803.4627	3079.5235	1276.0608	0.630663977711016	0.771937552501007
TTC21A	1803.4627	3079.5235	1276.0608	0.630663977711016	0.771937552501007
KILLIN	1833.2	3112.0355	1278.8355	0.629299757311861	0.76349432688415
PTEN	1833.2	3112.0355	1278.8355	0.629299757311861	0.76349432688415
NCSTN	1955.6684	3235.4454	1279.777	0.623266128359583	0.726302561149931
DOHH	1722.0309	3004.8838	1282.8529	0.635696641616994	0.803198171864679
NOL12	1634.2	2922.2907	1288.0907	0.641346793487365	0.83851514276524
NAA50	2413.276	3701.5467	1288.2707	0.605339988026145	0.61713530803292
PSMA1	2823.6425	4117.2542	1293.6117	0.593187649659157	0.544125082399386
EIF5A	2024.5336	3321.6616	1297.128	0.621313191108323	0.714315516964126
C19orf29	1791.4056	3093.5156	1302.11	0.633278506109781	0.788155287980645
BST2	1721	3029.4348	1308.4348	0.637717372733965	0.815801558598065
NOP16	1819.5364	3128.5184	1308.982	0.6322723830787	0.781908676376627
ZNF747	1783.2	3093.038	1309.838	0.634308251566064	0.794556036280337
